account_id,user_id,account_type,balance,card_number,created_at
1,36,SAVINGS,12275.22,4866524041574,2024-01-08 02:41:05
2,28,CHECKING,82812.38,4484219933083,2024-05-10 12:08:55
3,30,CHECKING,10109.78,4571208267734,2023-09-07 10:59:59
4,37,CREDIT,6010.34,4193802620672,2023-08-13 20:03:19
5,5,CHECKING,29909.38,4915478872874,2023-05-30 18:15:53
6,15,SAVINGS,16333.18,4742054932966,2024-02-05 05:31:39
7,42,CHECKING,40143.24,4122753046374,2023-09-14 00:39:39
8,39,CREDIT,72315.96,4045301742684,2023-04-02 04:47:17
9,82,SAVINGS,36817.64,4332727956878,2024-05-30 19:37:03
10,28,CHECKING,68066.16,4918785191088,2023-06-07 00:28:31
11,74,CREDIT,15070.25,4587139718707,2023-04-13 11:37:14
12,66,SAVINGS,45734.17,4087406403910,2023-11-26 02:17:30
13,45,CREDIT,6469.62,4017046226567,2023-10-21 05:02:31
14,49,CHECKING,68304.76,4825128682300,2023-08-20 17:53:21
15,60,CREDIT,71937.49,4686337524310,2024-05-27 18:58:36
16,54,CREDIT,76628.74,4033119079030,2023-11-09 10:46:10
17,57,CHECKING,54022.0,4028439599534,2023-04-22 06:34:04
18,85,CREDIT,22182.17,4440892687056,2024-02-12 08:42:00
19,41,CREDIT,41690.83,4246287334270,2024-03-12 19:38:02
20,53,SAVINGS,55772.95,4263435175183,2023-02-10 00:42:44
21,35,SAVINGS,67399.82,4901398373540,2023-06-14 12:22:58
22,25,CREDIT,11819.89,4739363854678,2024-05-18 21:02:32
23,46,SAVINGS,26230.01,4877175355609,2023-06-21 20:50:53
24,95,CHECKING,1720.37,4899642353693,2024-01-23 19:39:15
25,71,CREDIT,94352.11,4547772522872,2024-02-26 02:09:48
26,83,CHECKING,52442.05,4100623120387,2023-10-17 20:57:54
27,8,CREDIT,63809.09,4977008860084,2024-02-21 02:52:55
28,37,CHECKING,50271.38,4621182339845,2023-07-27 15:17:39
29,51,CHECKING,37367.85,4679334101666,2024-03-05 07:06:05
30,61,CHECKING,63711.13,4217659180339,2024-01-05 07:58:04
31,35,CHECKING,92423.51,4489025039261,2023-08-21 10:55:32
32,21,CREDIT,24123.17,4685621850163,2023-03-01 01:04:58
33,44,CREDIT,76923.66,4965047735866,2023-05-25 06:24:15
34,88,CREDIT,66101.12,4194311426265,2023-10-08 03:56:22
35,14,CHECKING,619.0,4475412126788,2024-02-03 00:35:23
36,53,CHECKING,2723.56,4581995604661,2024-03-10 14:31:01
37,32,CREDIT,52158.34,4622444721264,2023-11-24 01:54:59
38,39,SAVINGS,78288.4,4543799371240,2023-11-04 08:13:59
39,43,CREDIT,38051.01,4575692459375,2023-05-18 23:23:55
40,51,SAVINGS,29215.67,4793564651939,2024-02-28 19:15:48
41,24,CREDIT,76785.03,4073741672434,2024-05-26 14:22:03
42,20,CREDIT,42370.48,4617979688680,2023-10-07 06:06:55
43,90,CREDIT,59422.61,4113529096561,2023-01-09 04:37:29
44,13,SAVINGS,22277.91,4889937567982,2023-09-25 22:39:29
45,4,SAVINGS,10544.48,4611254573875,2024-01-05 20:18:46
46,13,SAVINGS,72227.19,4751401051238,2023-05-16 12:02:38
47,71,CHECKING,33165.87,4673622660937,2024-04-04 23:28:01
48,55,SAVINGS,544.56,4334191825537,2023-03-30 12:16:28
49,34,CREDIT,86277.39,4859696915579,2023-05-15 00:08:45
50,87,CREDIT,80081.28,4991251341252,2024-02-01 18:27:56
